Playing WAVE '/home/pi/shooting-gallery/lose4.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/ricochet2.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/ricochet2.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/ricochet1.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/ricochet2.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/ricochet1.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/ricochet1.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/win2.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/win1.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/win2.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/win1.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Mono
Playing WAVE '/home/pi/shooting-gallery/lose4.wav' : Signed 16 bit Little Endian, Rate 48000 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/lose2.wav' : Signed 16 bit Little Endian, Rate 48000 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/lose4.wav' : Signed 16 bit Little Endian, Rate 48000 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/lose1.wav' : Signed 16 bit Little Endian, Rate 48000 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/lose2.wav' : Signed 16 bit Little Endian, Rate 48000 Hz, Stereo
Playing WAVE '/home/pi/shooting-gallery/lose3.wav' : Signed 16 bit Little Endian, Rate 48000 Hz, Stereo
